,감정_대분류,content,label,Emotion
81,슬픔,이과를 선택했는데 이번에 첫 시험을 쳤는데 대다수의 과목의 점수가 좋지 않아.,1,
82,분노,배우고 싶은 수업이 하나도 없는데 의무적으로 신청하라니 진짜 짜증나.,1,
83,슬픔,이제는 지긋지긋해 진짜.,1,
84,상처,반 지각비가 도난당했는데 내 사물함에서 발견되어서 누명을 썼어. 난 진짜 아닌데 너무 억울해.,1,
85,슬픔,새로운 일을 구해 생활비에 보태고 싶었지만 병이 재발해 일을 그만두게 되었어.,1,
86,슬픔,나 진짜 내 친구들한테 실망했어. 나 빼고 어디 놀러 갔어.,1,
87,분노,부모님이 이사를 간다고 했는데 나만 할머니 집으로 가고 있어. 당황스럽네.,1,
88,상처,신체장애 때문에 학교폭력을 당해서 너무 절망스럽고 비관적이야.,1,
89,불안,미래가 막막하고 불안해.,1,
90,상처,부모님과 자꾸 싸우게 돼. 내 의견을 존중하지 않으셔서 속상해.,1,
91,상처,노인이 되니 치매가 걸려서 너무 화가 나.,1,
92,상처,사람은 간사하구나.,1,
93,상처,맞선을 본 여자들 중 누구도 내게 연락하지 않아서 속상해.,1,
94,슬픔,장마 때문에 하늘이 계속 흐려 몸과 마음이 축 처지는 기분이란다.,1,
95,슬픔,황혼이혼이라는 거 어떻게 생각해?,1,
96,상처,어제 옆집 영감이 나에게 사과는 물론이고 아무 말도 없어서 상처받았어.,1,
97,,그동안 내가 사실상 잘못한것도 많고 그래서 어제도 미안하다.,1,슬픔
98,상처,사별하고 혼자 사는 것이 정말 힘드네.,1,
99,슬픔,이번 승진심사에서 또 떨어진 나 자신이 너무 실망스러워.,1,
100,슬픔,서로 교육 수준이 달라 친구와 갈등이 생겼는데 너무 슬퍼.,1,
101,,광화문 4시부터 9시까지 시위하다가 이제 집가는데 힘듬 ㅠㅠ,1,슬픔
102,슬픔,오늘 부모님이 또 다퉜어. 매일 다투는 모습에 환멸이 나.,1,
103,상처,내가 중학교까지만 학교에 다녀서 바로 돈을 버느라 배움이 짧은 게 후회돼.,1,
104,불안,아기가 생긴 지 얼마 안됐는데 다니는 회사가 어려워졌어. 이제 어떡하지?,1,
105,불안,늙은 나이에 이혼해서 너무 외롭고 허탈해.,1,
106,상처,이젠 내가 정말 쓸모가 없는 사람인지 마음이 몹시 비참해.,1,
107,분노,나는 죄인이다.,1,
108,슬픔,진로를 잘못 잡은 것 같아. 후회돼.,1,
109,상처,동생의 장난이 너무 짓궂어서 괴로울 때가 한두 번이 아니야.,1,
110,상처,동기 생활관에 후임이 있는데 지켜주지 못해서 미안해.,1,
111,분노,밖에서 남을 친절하게 대하기가 어려워서 괴로워.,1,
112,슬픔,요즘 우울증에 걸려서 그런지 세상에는 즐거운 일이 하나도 없는 것 같아.,1,
113,상처,정말 살고 싶지가 않네.,1,
114,,재석씨재석씨(오빠)하루라도안보면 미추어버릴것같아요진짜ㅠㅠ,1,슬픔
115,분노,오래 사니까 돈이 없으면 안 되겠더라. 돈이 모자라서 짜증 나.,1,
116,불안,자식들에게 매달 용돈 달라고 말했어. 자식들도 힘들 거 같아서 조심스러웠어.,1,
117,상처,주변에서 왜 아기를 안 낳냐고 나보고 문제 있는 것 아니냐고 해서 상처받았어.,1,
118,불안,공장에서 사고로 팔을 다쳐 더 일을 할 수 없게 되었네! 향후 어떻게 먹고 살아야 할지.,1,
119,상처,공부를 열심했는데 성적이 떨어졌어.,1,
120,,갑자기 아파서 고민임.0,1,슬픔
121,상처,엄마가 나한테 심한 욕을 해서 상처받았어.,1,
122,슬픔,일이 너무 많아서 힘드네.,1,
123,슬픔,직장 상사가 날 너무 괴롭혀. 어떻게 하면 좋을까?,1,
124,상처,우리 아빠는 결혼을 두 번이나 했대. 나에게 큰 충격이야.,1,
125,,연봉 높으면 뭐하노 뒤지는건 한순간 인생무상이로다,1,슬픔
126,분노,주번이 칠판 정리를 안 한 건데 애들이 내가 반장이라는 이유로 칠판 정리를 시켜서 짜증났어.,1,
127,분노,나는 환경미화원이야. 나는 내 나름 자랑스럽게 생각했었는데 사회적 인식이 안 좋아서 슬퍼.,1,
128,분노,신혼여행 당일 비행기가 결항돼서 일정이 꼬여버렸어. 너무 분노를 느껴.,1,
129,,고인 명복을빕니다 ㅠ,1,슬픔
130,,비뚤어질거야 ㅗ,1,슬픔
131,불안,처음 만난 사람에게 어떤 말을 해야 할지 모르겠어.,1,
132,분노,내가 대인관계가 서툰데 그거 때문에 부모님이랑 사이가 안 좋아.,1,
133,,"지금까지 임신생활 잘해오다 막달되니,붓는증상에 불면증에...",1,슬픔
134,상처,사람들이 나를 돈만 많은 사람이라고 험담하며 친해지려고 하진 않아.,1,
135,분노,음악 실기 완전 망쳤어. 나는 왜 잘하는 게 하나도 없는지 모르겠다.,1,
136,불안,자녀 교육은 언제나 조심스러워. 나도 애들도.,1,
137,상처,남편보다 내 능력이 부족해 보여서 스트레스받아.,1,
138,불안,요즘 큰애만 보면 너무 스트레스를 많이 받아.,1,
139,분노,나 갑상샘에 물혹이 무척 많대. 암은 아니라지만 그래도 망가진 몸 때문인지 기운이 안 나.,1,
140,분노,직장 상사의 태도에 너무나 화가 나.,1,
141,분노,재정이 안 좋으니 모든 일이 안되는 느낌이야.,1,
142,슬픔,처음 일하는 신입 사원을 너무 심하게 야단친 것 같아 후회돼.,1,
143,불안,서른 살이 넘도록 운전 못하는 건 나뿐인 것 같아서 불안해.,1,
144,분노,일진들이 날 괴롭히다 못해서 내 친구들까지 괴롭히는데 내가 할 수 있는 게 없어.,1,
145,분노,매점 갈 때마다 따라다니면서 얻어먹는 친구가 성가셔.,1,
146,불안,좋아하던 여자애가 내가 따돌림 당하고 있다는 사실을 알게 되어 창피하다.,1,
147,,그 여자들은 정말 운도 좋지.,1,슬픔
148,,퓨디파이 개부럽다.,1,슬픔
149,슬픔,나 오늘 위로가 필요한데 가능할까?,1,
150,슬픔,오늘 또 불합격했어. 언젠가 합격할 수는 있는 걸까?,1,
151,분노,대학이 우선이라는 걸 딸이 잘 듣지 않는 것 같아 답답해.,1,
152,분노,친구들이 편을 나눠서 계속 싸움을 해서 학교가 점점 싫어지고 속상해.,1,
153,슬픔,내가 왜 이 직장을 그렇게 꿈꿨을까. 지금은 당장 그만두고 싶어.,1,
154,, 이제 정말 체념 해야하나봐요.,1,슬픔
155,상처,친한 친구가 어제 심장 마비로 급사했대. 이제 육십인데. 경황도 없고 마음이 너무 괴로워.,1,
156,슬픔,아내랑 다퉜는데 내가 너무 부정적으로 대처한 것 같아서 마음이 안 좋아.,1,
157,분노,회사 상사가 너무 이상해. 작은 일도 트집을 잡으니 그만두고 싶어.,1,
158,불안,우리 집 아이를 생각만 하면 신경이 쓰여.,1,
159,,한화 회장은 복이 많네~아들셋 있는데 셋다. 개망나니네..ㅋ한집에 하나 나오기도 힘들다더만 ㅋ,1,슬픔
160,상처,나는 내가 어떤 일을 좋아하는지 모르겠어. 나는 무엇을 잘하는 걸까?,1,
161,불안,나는 교육을 받지 못해 건강에 대한 지식이 없었어. 고혈압으로 몸이 나빠지는 것도 몰랐지.,1,
162,,3분정도만지다가 잡아서 집에 대리고올려다가 불쌍해서 놔줬음;;;;,1,슬픔
163,,얼마면 되겠니? ㅠ,1,슬픔
164,상처,아내의 신뢰를 한번 잃은 후로 아내가 내 말을 믿지 않아.,1,
165,상처,이젠 아무도 필요 없어. 어차피 인생은 혼자니까 이대로 외롭게 살아갈래.,1,
166,분노,나의 성 정체성에 대해 직장 동료들이 함부로 이야기해 화가 났어.,1,
167,슬픔,난 대학에 가서 더 공부하고 싶은데 엄마는 집안을 위해 취업을 하래. 너무 서러워.,1,
168,불안,이제는 갱년기가 되었는지 여기저기 몸이 아픈 데가 많은 것 같아.,1,
169,분노,노년이 되니 육체적으로나 정신적으로 나태해지는 게 눈으로 보이는 것 같아.,1,
170,상처,회사 동기가 어제 무단으로 결근을 했어. 같이 잘해보자고 한 게 엊그제인데 너무 속상해!,1,
171,,홍콩은 강도8이면 회사안간다,1,슬픔
172,불안,맞벌이인데 내가 맨날 아침밥 차리고 출근하려니 항상 시간이 부족해서 초조해.,1,
173,불안,시어머니께서 자꾸 여행을 같이 가자고 하셔. 거절 못하면 같이 가게 될까 봐 초조해.,1,
174,분노,학내폭력 사건을 볼 때마다 너무 짜증나.,1,
175,슬픔,나를 도와주던 대학생 봉사자들이 방학이 끝나자 오지 않게 되니 슬프고 허전하고 외로워.,1,
176,슬픔,팔이 아파서 이제 더 이상 그림을 못 그려. 아무것도 할 수 없고 너무 슬퍼.,1,
177,상처,내가 쓰려고 방학동안 열심히 만든 털모자를 엄마가 사촌 동생에게 줘버려서 속상해.,1,
178,,가족이 없는 출세가 무슨 의미가 있냐?,1,슬픔
179,,연락하구싶어,1,슬픔
180,불안,대학 졸업하고 취업 준비 중인데 생각처럼 쉽지 않아.,1,
181,불안,몸이 아픈데 이상하게 병원에만 가려고 하면 다시 괜찮아져서 혼란스러워.,1,
182,슬픔,몸도 아프고 날도 추워지는데 폐지 줍는 거 말곤 일이 없으니 이런 불쌍한 인생이 또 어딨나.,1,
183,불안,직장 상사에게 친구와 상사 욕한 카톡을 보냈네. 빨리 삭제하긴 했는데 보셨을까? 마음이 초조해.,1,
184,상처,큰아들을 믿고 재정을 지원해줬는데 그 돈으로 시간만 보내고 있네? 너무 배신감 느낀다.,1,
185,분노,노후 준비 참 어렵네. 뭘 해도 부족하다는 생각만 들어.,1,
186,불안,부모님이 내 성적 때문에 싸웠는데 내가 뭘 어떻게 해야 할지 모르겠어.,1,
187,분노,내가 부러워하는 것 중의 하나가 딸을 가진 친구들이라네.,1,
188,분노,오늘 집에 오는 길에 대학생 딸이 처음 보는 청년이랑 우리 집 앞에서 키스하는 걸 봤어.,1,
189,슬픔,얼마 전에 친구 일로 인해서 정말 슬펐어.,1,
190,분노,남편과 사별하고 혼자 남으니까 공허하고 우울해. 나도 남편 따라서 갈까 하는 생각이 들어.,1,
191,슬픔,우리집은 말만 가족이지 다 남남이야.,1,
192,슬픔,집안일 자체로도 힘든데 가정불화까지 겹쳐져 너무 힘에 겨운 것 같아.,1,
193,슬픔,장례식에 다녀온 뒤라 그런가? 죽음에 대한 생각에서 좀처럼 벗어나기가 힘드네.,1,
194,불안,상사가 부하 직원들을 지적해서 내가 넌지시 눈치를 주는데도 못 알아들어서 난감하네.,1,
195,상처,어느 순간부터 회사에서 내가 항상 뒷담화를 당하고 있더라.,1,
196,불안,시험 기간만 되면 나는 전교에서 상위권 못할까 봐 늘 긴장되고 다른 사람을 비교하게 돼.,1,
197,,김승우 금수저임 ............................. 끝,1,슬픔
198,상처,남편이 세상을 떠났어. 너무 허무하고 자꾸만 비관적인 생각이 들어.,1,
199,상처,점점 기력도 떨어지고 친구 부고 소식을 들으면 삶이 허망해.,1,
200,분노,건강을 해치는 일등 공신은 스트레스야. 스트레스는 악한 존재야.,1,
201,상처,아빠는 나를 앉혀놓고 공부를 못하고 무능하다고 설교해서 괴로워.,1,
202,슬픔,우리 어머니가 돌아가셨는데 나는 자리를 지키지도 못했어.,1,
203,불안,날 괴롭히는 애들을 또 봐야 하다니 힘들어.,1,
204,슬픔,내 곁에 누구도 남아있지 않다고 느껴져. 그래서 슬퍼.,1,
205,불안,먹고 살기 위해 남편이 아직 일하고 있지만 나는 능력이 안 돼서 짜증이 나.,1,
206,불안,졸업반이라서 취업을 생각해야 하는데 지금 너무 느긋해서 이래도 되나 싶어.,1,
207,불안,나를 제외한 모든 가족이 죽었어. 너무 고독하고 이 상황이 원망스러워.,1,
208,슬픔,있는 돈 없는 돈 다 끌어 모아 주택 자금을 마련했는데 내가 원하는 집은 살 수 조차 없어.,1,
209,불안,오십오 세에 은퇴라고 생각하니까 나의 삶이 고립되는 거 같아. 그때가 되면 많이 당황할 거 같아.,1,
210,불안,정말 고민이 많아.,1,
211,상처,내가 돈을 가져간게 아닌데 어머니가 나를 혼내셨어.,1,
212,분노,직장에서 후배가 일을 못 해.,1,
213,불안,몇 년째 내가 시험에 합격하길 기다렸던 여자친구에게 이제 그만 나를 포기하는 게 나을 것 같다고 했어.,1,
214,슬픔,준비해왔던 결혼식을 미루거나 취소해야 할 것 같아 너무 슬퍼.,1,
215,슬픔,정말 친한 친구에게 상처 주는 말을 해서 너무 후회가 돼.,1,
216,,탈모오신분들은 어떻게해서 극복하고잇나여?,1,슬픔
217,분노,곧 대학교 졸업인데 어떤 진로를 선택해야 할지 고민이야.,1,
218,상처,아이들이 성적이 크게 떨어져서 걱정이야. 내가 도움이 못 되는 것 같아.,1,
219,분노,마흔이 넘으니까 업무책임감. 부하직원 케어 등 점점 더 업무가 감당이 안 돼.,1,
220,불안,비만으로 정신적 스트레스를 받고 있어. 다이어트를 하려 해도 생각처럼 되지 않아서 짜증 나.,1,
221,상처,이유 없이 형한테 맞는 것 같아서 억울해.,1,
222,슬픔,부모님께서 내 졸업식에도 안 오신대. 왜 난 늘 혼자인 걸까.,1,
223,상처,앞으로 십 년 후면 나도 은퇴를 해야 하는데 걱정이군.,1,
224,분노,딸 때문에 짜증 나 죽겠어.,1,
225,분노,요즘 코로나에 태풍에 부동산에 경제에 모든 게 최악이야.,1,
226,, 근데 제가 차인거같은 기분이에요,1,슬픔
227,슬픔,내가 좋은 사람이라 잘 결혼한 거 같다는 아내의 말에 눈물이 났어. 고생만 시킨 거 같아 눈물이 나.,1,
228,불안,이번에도 취업에 실패했어.,1,
229,슬픔,요새 너무 우울해.,1,
230,슬픔,결국 학교폭력 때문에 자퇴하고 말았어. 이겨낼 수 있을 줄 알았는데 너무 슬퍼.,1,
231,상처,요즘 참 괴로워.,1,
232,상처,시간이 정말 얼마 남지 않았는데 업무들은 산더미처럼 쌓여있어.,1,
233,상처,남편과 내 성격이 안 맞아서 걱정스러워. 나는 아직 보듬어주어야 하는 자식들이 있거든.,1,
234,불안,헤어 인턴 디자이너라 경력이 없다고 손님들이 나한테 머리를 안 받으려 해서 속상해.,1,
235,상처,다들 연애하는데 나만 혼자야. 너무 참담하다.,1,
236,분노,가족들이 오랜 시간 간병에 지쳐 내가 빨리 죽었으면 좋겠다고 생각하는 거 같아서 화가 나.,1,
237,상처,나는 요즘 결혼 준비로 인해 스트레스를 받아. 이로 인해 늘 불안한 감정이 생겨.,1,
238,상처,친했던 벗들이 나를 따돌리는 것 같아 충격이야.,1,
239,불안,오늘 면접을 보고 왔어.,1,
240,,집에문안닫고왔는데 제발퇴근좀시켜줬으면좋겠다ㅜㅜㅜ,1,슬픔
241,슬픔,항상 아픈 날 돌봐준 남편이 병에 걸렸는데 돈이 없어서 치료를 못했어.,1,
242,슬픔,사람들이 자꾸 나를 너무 힘들게 해.,1,
243,불안,백화점에서 아내에게 선물해줄 목걸이를 고르고 있어.,1,
244,분노,아내가 죽었어. 나 때문인 것 같아 우울증도 생겼어.,1,
245,불안,다른 동기들보다 내가 스펙이 좀 모자라서 항상 불안해.,1,
246,분노,친구들이 나에게 정신이 이상하다고 비난해.,1,
247,상처,코로나로 회사 경기가 안 좋다 보니 그만두라고 하는군.,1,
248,분노,어제 남자친구랑 헤어졌어. 지금도 너무 기분이 나빠,1,
249,, 질쪽으로 너무 아파구요...,1,슬픔
250,상처,잘살던친구가 지금너무어려워졌어.,1,
251,불안,아니 요즘 기억력이 확실히 안 좋아졌더라고.,1,
252,,비 이자식 부럽긴하네,1,슬픔
253,분노,학교에서 배우기 싫은 게 너무 많아. 그래서 스트레스받아.,1,
254,불안,회사에서 갑자기 나에게 상의도 없이 다른 부서로 발령을 냈어. 너무나 당황스러워.,1,
255,슬픔,진로 걱정에 잠이 오지 않아. 밥도 맛이 없고 모든 것이 마비된 느낌이야.,1,
256,분노,들어가고 싶은 회사 채용공고가 나왔는데 좌절했어.,1,
257,, 그런데 나에게 그렇게 차가웠던 이유를 알게되니...,1,슬픔
258,분노,남편하고 자식 다 소용없어.,1,
259,,지푸라기라도 잡고싶은 마음에어풀다운받아 그사람사주넣고 궁합도 보고 타로도보고별미친짓을 다했네요..,1,슬픔
260,불안,병문안 온 자식들에게 치료비를 물어봐야 되는데 조심스러워.,1,
261,상처,아이가 말대꾸해서 깜짝 놀랐어.,1,
262,슬픔,요즘 가정 형편이 힘들고 마음이 괴로워.,1,
263,분노,애들이 거동이 불편해서 나를 도와주는데 점점 나를 귀찮아해.,1,
264,분노,자꾸 힘이 떨어지는 걸 느껴.,1,
265,슬픔,큐알코드를 찍는 방법을 몰라서 한참 어린 학생한테 무시당해서 너무 서러워.,1,
266,상처,몸이 너무 불편한데 아내와 내가 먹고 살려면 내가 일 해야 해. 속상해.,1,
267,상처,회사의 팀원을 위해 내가 실수를 뒤집어썼어.,1,
268,분노,내가 그런 남자를 사랑했었다니. 지금은 사진만 봐도 구역질이 나.,1,
269,슬픔,나쁜 친구들과 어울리다 부모님을 속상하게 해서 너무 죄송스러워.,1,
270,슬픔,아들 친구들은 다 학원에 다니는데 우리 아들은 학원을 못 보내줘서 울고 싶어.,1,
271,분노,요즘 친구들이 나를 계속 괴롭혀 내 성격이 별로인가 봐 결국 내 탓이지. 너무 우울해.,1,
272,, 실은 자정을 넘길때도많음업무량이 너무과도함화장실 하루에 한번도 못갈때도많음ㅋㅋㅋㅋㅋㅋ,1,슬픔
273,슬픔,이렇게 혼자 누워만 있으니 너무 우울해.,1,
274,분노,요즘 집안일 때문에 기분이 별로인데 자꾸 여자친구한테 그걸 풀고 있어.,1,
275,, 이제4달이다되어가는데 10키로나 쩟어요...ㅠㅠ,1,슬픔
276,, 저희도 뭐라 말씀은 드려야 할것 같아서말이에요.,1,슬픔
277,상처,내 체력이 예전 같지 않다 보니 현장 일에서 나를 원하지 않는 것 같아 슬프네.,1,
278,상처,내가 췌장암 말기판정을 받았는데 가슴 아프게도 자식들은 수술비를 지원해주지 않아. 가족에게 버려진 기분이야.,1,
279,분노,나의 친구가 오늘 죽어서 마음이 슬프고 노여워.,1,
280,상처,무릎관절 수술해서 걷거나 앉기가 힘들어.,1,
281,상처,나는 좋은 대학을 나오면 취업이 잘 될 거라고 생각했는데 막상 졸업해도 취업이 안 돼.,1,
282,불안,나이가 많아서 이제는 어디서도 잘 받아주지 않네. 남편 혼자 버는 건 어려운데.,1,
283,슬픔,내가 의욕적으로 진행하고 있는 프로젝트의 진행률이 좋지 않아 실망스러워.,1,
284,불안,지난 달 협심증 때문에 진료를 받았는데 병원비가 너무 많이 나왔어.,1,
285,불안,이번에 중소기업에 취직하게 됐는데 당혹스러운 일이 있었어.,1,
286,상처,남편이 바람피워서 이혼하고 나서 정신질환이 생겼어. 너무 힘들어.,1,
287,분노,아픈 것도 서러운데 돈 없는 나를 가족들조차 외면하니까 화가나.,1,
288,분노,동생은 맨날 나한테 혼나면 엄마한테 일러. 나 너무 열 받아.,1,
289,상처,남편은 이제 나한테 관심이 없는 것 같아. 이제는 남편뿐이라고 생각했는데 허탈해.,1,
290,,취임후 나라들을 뒤집을 정책을 펼치고 있으면서 곳곳에서 시위하는데 호화휴가라ㅋㅋ,1,슬픔
291,불안,나이가 드니까 운동을 꼭 해야만 한다는 강박관념이 들어서 스트레스 받아.,1,
292,슬픔,요즘 대인관계에 있어서 환멸을 느껴. 친구들이 나를 싫어하는 것 같아서 잘해보려고 하는데 그게 잘 안 되네.,1,
293,상처,결혼하면 행복할 줄만 알았는데 안 맞는 부분이 많아서 자주 다투니 너무 괴로워.,1,
294,슬픔,나는 사람들과의 관계를 맺는것이 싫어.,1,
295,상처,요즘 버려진 기분이 들어.,1,
296,상처,아무도 궁금해 하지 않고 혼자 고독하게 사는 삶이 너무 처량해.,1,
297,상처,주변 친구들은 하나둘 취업에 성공하고 있는데 나만 혼자 뒤처지는 것 같아 불안하고 막막해.,1,
298,상처,내가 정신적으로 문제가 있는데 가족과 말다툼에서 욱해서 폭력을 써버렸어.,1,
299,불안,나 오늘 노인정에서 정말 속상했어.,1,
300,슬픔,우리 학교 친구 중에 어떤 애가 왕따를 당하는데 너무 안쓰러워.,1,
301,, 일보단 사람관계때문에고민이에요 직원들ㅠㅠ,1,슬픔
302,분노,내 아들놈이 너무 구두쇠라 나에게 어떤 것도 해주지 않아서 서운해.,1,
303,슬픔,나는 음악을 좋아하고 자신이 있는데 집이 가난해서 고민이야.,1,
304,불안,아버지가 요즘 나의 학업에 대해 무관심하셔서 공부에 집중을 할 수가 없어.,1,
305,분노,의사가 병을 고치기 위해 식습관을 바꾸어야 한다고 단호하게 말했지만 너무 힘들 것 같아.,1,
306,, 안타깝다 진심으로...,1,슬픔
